Konversation	Eventsvar	Event/Ej event	Amount of conversations	Amount of events	Amount of non-events
judy: Hey Bruce how are you doing;bruce: I am doing quite good thanks for asking Judy;judy: So aunt Maya called me about your upcoming birthday and what kind of gift you would like;bruce: So we can think about what she will get me right;judy: She lives in France so she knows a lot of places that sell unique stuff;bruce: I know for sure she is the right person to receive a gift from;judy: So is there some specific kind of thing you would prefer;bruce: I would be quite glad with something that at least has some french theme in it;judy: Alright maybe some kind of decoration with some french culture in it;bruce: Sure that would be nice though I still want to have it as a surprise;judy: Sure you are right alright I will talk with our aunt 		No			
amber: Hey Sherrie How are you m thinking of doing a netflix night Woudd you be interested;sherrie: Yea I definitely would It will be a great chill night;amber: Should we invite Ellie and Janice over to watch The Office;sherrie: They would love it;amber: Any other suggestions sherrie: I know Ellie loves mexican food How about we do a taco bar;amber: That sounds like a perfect idea Remember that Elle is working a 12 hour shift sherrie: Maybe we could help her so she gets done early;amber: She would really appreciate us helping her Let me give her a call and see what we can do;sherrie: Great You call Ellie and I will give Janice a call This should be a fun night;amber: It definitely will a great night I am looking forward to it 		Yes			
raymond: We have to talk about this and come to some kind of resolution;julie: I don t want to prevent you from seeing your child but Jill is used to being in this house end this neighborhood This is where she should stay;raymond: She can just as easily make friends and become comfortable at my new place That s nothing to base a custody decision upon;julie: I disagree She is going through enough upheaval in her life as it is We don t need to create more disruption;raymond: The fact that we re getting divorced is a reality You don t deserve sole custody just because I m giving you the house;julie: This is not about us this is about Jill It s about what is in her best interests;raymond: I agree completely but you and I are never going to come to an amicable agreement by ourselves I think we need to talk to Billy about this to figure out the best thing to do;julie: Billy is 100 biased towards you and you know that There s no way he is going to give us an impartial advice I agree we need to solve this problem but I don t think he s the solution;raymond: So what exactly are you proposing;julie: I think we need to find a new lawyer somebody is going to look at this from a fresh perspective and not from the side of either one of us;raymond: I suppose you re right We could go around in circles forever without making any progress Our marriage is proof of that		No			
steve: Hey Judy good news;judy: Don t keep me in suspense what is it;steve: Tracey just told me that she got a text from Aunt Alice She s ready for our yearly shopping trip;judy: Oh awesome When steve: Today she wants us to be ready by 4;judy: Woah that was sudden I m super stoked I love shopping with aunt alice;steve: Me too its one of the highlights of the year;judy: Do you think she ll take us to that one restaurant she loves what was it;steve: I forget the name too but I hope so that was delicious;judy: Well i guess we better get home we don t want to keep her waiting;steve: I already am home so we ll be waiting on you if you re late;judy: Don t worry I m on my way 		Yes			
maria: So I am making the dinner;rafael: That is good to hear maria: I am low on veggies though;rafael: I will get them for you;maria: Since Shawn Laura Alan and Peggy are coming I need a lot;rafael: sure tell me what you need;maria: I think we need a lot of lettuce;rafael: Yeah and I know Alan and Peggy both really like carrots;maria: God idea Get some of those rafael: I will look around;maria: Thanks a lot		No			
kathleen: hi ricky how is your sister grace;ricky: Ya kathleen grace is fine actually her birthday is coming on our anniversary date;kathleen: oh ya what a coincidence actually i forgot about it;ricky: shall we go for a family trip on our anniversay day;kathleen: ok that s a great idea;kathleen: but shall we stay home and celebrate along with grace;ricky: ok that is also nice whether grace would prefer this idea i should ask about her past birthday celebration;kathleen: ok we shall discuss this matter with grace and we will take a decision;ricky: ya that is a good idea ask grace to our home and we need to sit and talk to her about this;kathleen: or else simply you ask about her birthday idea and we will keep a surprise party;ricky: Ok that is a nice idea and i will ask grace about her birthday party		Yes			
patricia: So I heard you wrote Lance a letter;julie: Who told you that;patricia: What does it matter Did you;julie: Tell me who told you that and I ll tell you the truth;patricia: Drew told me;julie: Drew How would he know anything;patricia: None of this is important What is important is did you write the letter;julie: Well it s not like you re dating him or anything;patricia: So you did I can t believe it You know I like him;julie: But I like him too Why are you more important than me;patricia: I m not but we promised each other not to steal one another s guys;julie: But Lance isn t your guy He s nobody s guy Well hopefully he will be my guy;patricia: I am so upset at you I don t want to be friends anymore;julie: You re really making too big of a deal over this Settle down;patricia: Don t tell me to settle down That s it we re through;julie: Fine I was going to dump all my friends anyways as soon as me and Lance started dating You just made it easier on me Thanks;patricia: Good riddance		No			
christine: Hey Eva where do you wanna go this sunday;eva: You mean hiking We can just go to one of the usual spots;christine: I was thinking of trying something new like XYZ hills;eva: Oh but the thing is Andy was planning to join us;christine: Oh I see yeah it s better if we go somewhere we know;christine: But just Andy What about Denise;eva: She s busy has to attend her kid s soccer game;christine: Oh okay So it ll be just us three;eva: Yeah it seems like it;christine: Are we going to meet up there;eva: Denise won t be using her car so we can have Andy pick us up and drive us there;christine: Ok great Let s do it that way Talk to you later 		Yes			
kate: Mindy I want to ask you about one important thing Are you free now;mindy: sure Ask me right now What s that;kate: Did you write any letter to Paul our common friend;mindy: Oh no How did you come to know that Did Paul tell you that;kate: No I got news from someone else Do you remember our girl code;mindy: Yes I remember it Now what is the problem to that code;kate: Our girl code is not to have a crush on same boy But you have a crush on Paul;mindy: Yes what about that And tell me how did you know that;kate: I came to know that by one of common friend to me and Paul whose name is Craig;mindy: Oh How could Craig get this information from Paul What is your problem on my crush;kate: Don t you know that I also have a crush on Paul Craig is the best friend to Paul and he told him about it;mindy: Oh sorry I am sure that don t know about your crush What do we do now;kate: I have an idea We both leave this crush and we three maintain our friendship only for ever;mindy: Okay and we will discuss the same with Paul also Okay;kate: Done		No			
harry: My sister Amber is staying with us for a week;tanya: Oh it is good news let us welcome her in a good way;harry: We have to make her stay memorable;tanya: First tell me what she likes and what she doesn t like;harry: I have to recollect my days with her;tanya: Yes do that first and let me know;harry: According to me she likes non veg food likes chicken fish etc a lot;tanya: Let us bring these food items during her stay here;harry: She likes to travel for nature watch;tanya: We can take her to some beautiful places 		No			
margaret: Hey Marl have you noticed our neighbor s lawn;mark: Yeah actually they have a beautiful rose garden but their lawn isn t mowed properly;margaret: I was thinking if we could perhaps ask them how to grow such a lovely garden perhaps in exchange of services;mark: So you think that we could offer to mow their lawn in exchange for their gardening tips;margaret: Yeah that s exactly what I m thinking I think they would agree right;mark: Yeah I think so But how would we approach them;margaret: Well I m not close to Timothy but I know Sarah from the gym maybe I can talk to her about it there;mark: OK that sounds great since I m not very good with talking to people I m not close with;margaret: OK then it s settled I ll let you know what Sarah says;mark: Great looking forward to it thanks Margaret 		No			
carlos: Matt just called He is worried about Justin;russell: Why what is going on;carlos: He says that Justin has been in his room for two weeks writing furiously and talking about being watched;russell: That s scary There is a history of schizophrenia in his family;carlos: Let s cancel the movie plans and go meet Justin to check on him;russell: Yes let s do that Has Justin talked to Matt s family;carlos: Yes but they aren t sure how to handle it;russell: They could probably use the support too And if we can get him calm maybe we can all go see a movie until a solution is decided upon;carlos: That would be nice Matt loves the movies and has been waiting for this one for awhile;russell: For over a year now		No			
joshua: Do you want to come to my birthday party;scott: You know it Who else is coming;joshua: What about some friends from school;joshua: I haven t invited anyone else yet;scott: You should definitely invite people from school;scott: How about Lara and Madison You might have heard of them;joshua: Do you know them personally Are they nice;scott: Yes they re some of the nicest people I know;joshua: Do you mind inviting them for me;scott: Yeah I ll ask them when I see them tomorrow;joshua: Cool thanks I appreciate it 		Yes			
joanna: Hey Christina What are you doing;christina: Hey Just finishing up my English paper It s due tomorrow;joanna: Cool Hope that s going well Did you get mom s text She wants us to cook dinner tonight because she has to work late;christina: Oh Isn t aunt Zoey coming over tonight for dinner;joanna: Yes Mom invited her last week;christina: What are we going to cook;joanna: I think aunt Zoey is a vegetarian;christina: We can make some vegetarian dishes Mom like salmon;joanna: You are good with the salmon Will you bake that like last time Mom said you did a great job on it She loved your salmon;christina: Sure I can work on the salmon and you can cook the vegetables;joanna: Sounds like a plan We better get started soon Aunt Zoey is coming over at 8 pm;christina: Ok Sounds good		Yes			
wilson: So what should we do about Zoey;peggy: Well since I m the mother she should stay with me;wilson: I am also capable of taking care of our daughter I want her with me;peggy: We should talk to a lawyer about custody of Zoey then;wilson: I can reach out to Stephan and see if he s willing;peggy: I m not sure if he s the right guy I know he is your friend and I feel uncomfortable choosing him as a lawyer;wilson: He s a professional and I can assure you he won t be biased;peggy: Fine When do you want to meet with Stephan;wilson: I m planning maybe this weekend if both of you are available;peggy: Yes go ahead and make an appointment I ll be there 		No			
danielle: I just realized that your sister s birthday is coming up Any thoughts on what to do;henry: I didn t realize that her birthday overlaps with our anniversary trip How would feel about inviting her along;danielle: You know I love spending time with Maria but I don t think she can take off from work;henry: That s too bad What should we do then;danielle: We could skip the trip and and stay at home and celebrate with her;henry: We could do that I know she went to winery last year;danielle: Oh right and she and some friends took a cooking class the year or two before;henry: Maybe we should all go out to a fabulous restaurant;danielle: That sounds good but let s talk to her first;henry: OK I ll call her in a little bit 		Yes			
judy: Kelly do you remember about the retirement party to be given to Karen and Steven;kelly: Ofcourse Judy I am also thinking about that Do you have any plan;judy: Still I can t come to a conclusion How about you any nice idea;kelly: Yes I have some ideas and will tell you the same you can choose among them Okay;judy: Yes tell me and I will suggest my opinion We both plan accordingly;kelly: What about a Welcome song to them And we have to invite their family members also to the party;judy: Both are nice ideas and what about other ideas;kelly: Recollecting our memory with them during our work and some Gifts to them;judy: Wow these are so nice ideas Anything else you have;kelly: Yes one more last thing that is an arrangement of tasty food that they liked the most;judy: Chanceless and you are so brilliant How can you get these type of ideas;kelly: Ha Ha from the internet;judy: You It s okay I can manage We will make all the plans and definitely they are going to enjoy this party;kelly: Yes ofcourse		Yes			
brian: Hi Jose How are you today;jose: good afternoon;jose: good;brian: Are you excited about Richard coming into town;jose: yes;brian: Chicago sure is different than Texas what should we show him;jose: yes;brian: Huh That doesn t make any sense Jose Silly guy;jose: chicago;brian: Yes What should we show him there I m so excited;jose: yo tambien estoy muy emocionado		No			
peter: Hi Greg;greg: Hi Peter;peter: I know you work at Ford and was wondering if you have any connections for a friend of mine;greg: Yes my friend Sam works at Ford Let me give you his contact info;peter: That would be awesome I will pass it along to my friend Justin;greg: Hey I think Sam and Justin used to go to the same school;greg: Please tell Justin that when you see him By the way here is Sam s number 5555555555;peter: They did That s crazy I ll be sure to mention that to him;peter: Thanks again so much		No			
joe: Hello Carol whats going on;joe: Everything ready for this weekend;carol: Hi Joe I m working on getting everything ready for the weekend;joe: Great Im glad to hear that I think we are going to have the best time with Henry Kelly Christina and Walter;carol: I know we will I was thinking about what to serve I know Kelly and Christina love Italian What about Walter and Henry;joe: I think they love Italian too I heard Walter and Henry talk about a nice Italian restaurant the other day;joe: Do you need me to help you with something;carol: Great I can pick up the ingredients for lasagna if you don t mind bringing a salad I also have a couple of bottles of wine that I believe they will enjoy;joe: Yeah I can bring the salad its the least that I can do;carol: The ladies all love their wine;joe: And I bet they will maybe buy something stronger for the guys;carol: HaHa Maybe I ll let you pick out something for them;joe: I think thats a better approach lol in fact Im going to buy that now see you at dinner 		Yes			
chris: Hey Anthony so you re meeting up with Jason Gary and William later;anthony: Hey Chris so you re coming to my house this Sunday to hang with Jason Gary Will and me right;chris: I don t know I ve got some things I have to take care of this weekend but I guess I could come by;chris: What s the plan;anthony: Let s go to Postinos and get some wine then we can go check out the film festival You like Indie s films right;chris: I could meet you for a drink but I don t think I can stay for long;anthony: Let s meet earlier then Would that work;chris: Yeah that would probably work;anthony: We can go to the beach and hang out earlier then come back to my place to shower and change then we can go get drinks and appetizers;chris: Sounds good I ll meet you there;anthony: You would like the guys They are jocks like you 		Yes			
henry: hi;paul: Hi Henry;paul: So we def want to go to the beach but which one and when;henry: how about Aki Beach Paul;paul: That sounds good Jack and Dennis said they could probably go anytime but have you talked to Alex;henry: ok;paul: Want to go the 2nd weekend in June;henry: ok;paul: Shall we make a day of it Get there about 10 am;henry: ok that is good time;paul: K Bye		Yes			
tim: Hi;george: Hi there Tim;tim: Where do you think we should go;george: Hmmm I don t know what do you have in mind;tim: I guess to the moutains for hiking;george: That sounds good;george: Should I make the bookings;tim: Yes We should invite Jeff and Matt;george: That s a good idea Can you contact them;tim: Yes Can you book the hotel while you are at it;george: Sure Let me get at it I will call once I have collected the details;tim: Ok Do you have Jeff and Matt s numbers;george: Let me look in my diary and I will send you soon;tim: Alright Sounds good;george: okay have a good day will call you later;tim: Alright goodbye;george: bye		Yes			
jack: hey ronald;ronald: Hey Jack how s it going;jack: going great gonna watch the baseball game soon you interested;ronald: Definitely we should invite Patrick and Steve i m sure they would want to go too;jack: I think that sounds like a great plan;jack: I haven t seen them in forever;jack: I will pick them up on the way sound good;ronald: Perfect that saves me the trouble;ronald: Really appreciate it;jack: see you soon;ronald: Does this Saturday work		Yes			
amanda: Hey Melissa;melissa: Amanda what s up;amanda: Do you want to go to Six Flags soon;melissa: Yeah that sounds fun When;amanda: Well it depends on who s going Do you think we should bring our neighbors;melissa: That sounds fun let s bring Frank Catherine and Edward;amanda: That s what I was thinking too I think they are all free this Saturday;melissa: Alright so let us go to Six Flags this Saturday yes;amanda: Yes See you then;melissa: See ya		Yes			
ronald: I can t believe you want full custody;melissa: Of course I do You can t be trusted with our daughter;ronald: Donna wouldn t agree She loves being at my house;melissa: Because you just feed her sugar She s not safe there;ronald: Obviously we re not going to agree on this Maybe we should get a lawyer;melissa: That s the first thing we ve agreed on;ronald: I ll set an appointment with Eugene to go over this;melissa: Of course you d pick Eugene he s your buddy We need a new lawyer;ronald: Fine you find someone and tell me when to be there;melissa: I will let you know 		No			
roger: Hey Malcolm;roger: I m excited about dinner tonight;roger: I heard you invited the Watsons over;malcolm: What time does it start;roger: I was thinking 6 but that is your call;malcolm: 6 is fine with me;roger: Cool what are we eating;malcolm: I was think steak and mash peas;roger: Sounds delicious;malcolm: Who s cooking me are you;roger: I figured you were;malcolm: Okay I ll get started soon as I get home thanks;roger: Sounds good I think I heard Linda doesn t eat steak can you make a chicken breast for her;malcolm: Okay I ll pick it up on my way home see you at 6;roger: see you at 6 thanks 		Yes			
larry: What Do you think we should bring for the trip this weekend;amy: what should we carry;larry: I think we should pack as light as possible It s only for a couple days;amy: I think we should carry some beddings;larry: Agreed I think everyone is bringing their own bedding;amy: How about drinking water;larry: Angela said she would bring a bunch of water Alex is bringing food and jack is bringing bug spray;larry: I think that pretty much covers what we need What do you think;amy: Great;larry: I ll bring some flint and steel so we can start a fire;amy: I almost forgot that;larry: I think that covers it Maybe you could bring some sunscreen just in case;amy: Okay		Yes			
larry: hi;amy: Hi Larry Are you excited for our hiking trip;larry: yes definetly;amy: What are Angela Alex and Jack bringing along I have a pack with snacks and water and I have my boots and camera ready to go;amy: Is there anything else we need;larry: peanut butter and jelly lots of it;amy: Does anyone have a trail guide or map;amy: We don t want to get lost;larry: i got one;amy: Great See you there;larry: awesome		Yes			
diane: Hi Jackie I m at the department group lunch;jackie: Oh how is it going diane: Mostly okay There are some things that I wondered about;jackie: Who all is there What did you wonder about;diane: Well Mindy is there and Joyce and Donna But Mindy took me aside and confided in me that Joyce didn t wash her hands in the restroom;diane: I don t like to gossip about people but it bothered me because she prepared some of the food and beverages and she shares the phone and keyboard in the print room;jackie: Yeah I don t think you are gossiping because that s a real concern Actually;diane: Oh what is it jackie: Well a couple weeks ago Donna told me something similar;diane: What happened that time jackie: Donna thought she saw Joyce leave the restroom without washing her hands too;diane: I guess we need to take extra vitamins and wash our own hands more often and use sanitizer 		No			
nancy: Hi Lisa;lisa: Hi Nancy;nancy: Any good spot for vacations;nancy: or good places for food visit;lisa: I love Miami last time I visited;nancy: ah whats so good about Miami;lisa: The food and the night life;nancy: lets ask Emma Cathy and Amy for more info since they went to Miami last year;lisa: Cool are they going to join us on chat;nancy: they will when they are available 		No			
peter: hi;peter: looking for a job;greg: You are looking for a job;peter: do you know someone at ford;greg: I do actually My friend Sam works at Ford;peter: will you talk to him;greg: About a job I can but who is looking for a job;peter: justin;greg: Oh ok I think I remember Sam talking about going to State University with a Justin Did Justin go to State university;peter: yup thanks		No			
stacy: So I wanna go to Howard and Valerie s for the fourth of July;mark: So do I since our plans went array;stacy: should we ask them;mark: maybe we should give them a call;stacy: what should we say;mark: Just ask if we can join them;stacy: I will I mean we do a lot with them;mark: Yeah we have a lot of fun camping and stuff;stacy: I am sure they want us there;mark: Howard and Valerie are great people;stacy: Yes they sure are 		Yes			
carol: Hello stephen how are you;stephen: I m good but what s up with Donna our coworker;carol: what do you mean stephen;stephen: don t you think she asks too many questions;carol: I guess so maybe it s because she is new;stephen: yeah but by now she should know the answers;carol: yes i suppose you are right is there any other problems you have with her;stephen: come to think of it she always invades my personal space;carol: does it make you uncomortable;stephen: yes it does and on top of that she smells horrible 		No			
henry: hi paul;paul: Hi Henry Have you talked to Jack Dennis and Alex about the trip this summer;henry: yes paul: I m thinking we should camp at Emma Wood State Beach How does June work for you Thought;henry: i am just free in june;paul: Well that s great new Henry;henry: i accept your plan paul;paul: I m planning to bring my dog Cujo;henry: oh good paul: Nice talking with you Henry Have a good night and we ll talk soon Good night 		Yes			
